A,B,C,E,ehomo,elumo,egap,R2,mu,alpha,zpve,U0,U,H,G,Cv,U0-ref,U-ref,H-ref,G-ref,f_name
0.38592,0.06668,0.06137,-37898.21040698366,0.4024563993003915,-6.064601603250728,175.97761174939188,18032.5445,2.1022,241.88,15.084386940133761,-37883.12603446556,-37882.364823152915,-37882.3391356045,-37884.92353699217,100.275,-229.09469978961715,-230.64536782837968,-232.16207606300304,-211.29162326810183,20_5729
0.48478,0.08364,0.07725,-30099.187333420497,1.2359411532267603,-5.462957858251968,182.2863269395998,14539.5275,1.2221,222.21,15.263437860174099,-30083.923880594066,-30083.1878126021,-30083.1621250537,-30085.648130069498,97.895,-230.6785657262917,-232.25437708834215,-233.7710581114079,-212.8328217533417,20_5738
0.48599,0.09078,0.08006,-32606.150720100155,1.1733549653707156,-5.742963020442707,188.20259857924316,13776.1532,2.1193,215.07,14.349788363019943,-32591.800945887055,-32591.06664663519,-32591.04095908678,-32593.515834645696,95.821,-219.858121344776,-221.3201074790959,-222.75964422276593,-202.8678761424162,20_5801
0.50767,0.08228,0.07839,-41394.49002567754,0.742598724604982,-5.764460015401957,177.06608725756155,14471.5415,2.0894,230.73,14.268453530193112,-41380.22158194345,-41379.47716005598,-41379.45147250757,-41381.956335013885,97.824,-217.7937023336708,-219.24556582977675,-220.68512978502986,-200.79662707693205,20_5809
0.15105,0.13377,0.07454,-30099.343463101635,1.2797514847259914,-5.387854432824715,181.4347984808276,14889.4309,1.2205,227.13,15.23353254693332,-30084.10992484031,-30083.354509552886,-30083.32882200448,-30085.860161189397,98.53,-230.86460997253744,-232.4210740391245,-233.93775506218662,-213.0448528732377,20_5842
0.25885,0.17929,0.16055,-22734.79515872315,2.0906507882521352,-5.498060546223401,206.49935354990492,8715.2726,1.0385,207.21,15.069066929802043,-22719.72610022888,-22718.995746627985,-22718.970059079576,-22721.352034966607,96.718,-225.4100604343039,-226.95305486743018,-228.44399391910338,-207.7731638509431,20_5874
0.39582,0.15199,0.12255,-23928.635715427234,1.102333247847117,-5.3048597054503945,174.3486007847842,9263.3056,2.4278,197.02,14.438116522055042,-23914.19759095945,-23913.49055751638,-23913.464869967975,-23915.796205465613,94.779,-219.02945300515057,-220.51870495088588,-221.95821448296556,-201.9510973313263,20_5886
0.40237,0.21544,0.17346,-38333.619293253716,1.0476383619381389,-5.107032929053244,167.47713635225722,7258.2733,1.967,238.48,14.709196349629785,-38318.91009581563,-38318.14240819311,-38318.116693433316,-38320.36454439863,109.739,-223.0220164047132,-224.52767681099795,-226.0186430744434,-205.15246246714378,20_6339
0.29763,0.24944,0.19248,-31512.00057577025,1.673228126638342,-5.133427973496881,185.21854667589366,7009.7326,1.786,211.54,14.250657283733174,-31497.749918758625,-31497.008490123622,-31496.982802575218,-31499.29862758282,100.894,-217.22024958081238,-218.6751063319898,-220.11464307567076,-200.04431387484874,20_6523
0.38483,0.17722,0.16046,-46132.95457529386,0.3918439587508883,-5.109754067655681,149.70610764744612,8077.2778,1.3324,263.7,14.572513557629389,-46118.38207779094,-46117.58217188738,-46117.55645712758,-46119.885833405424,112.865,-221.7079785718597,-223.18142069446913,-224.67241416951583,-203.85714606601687,20_6558
